Station Name,Latitude (deg) ,Longitude (deg) ,Avg Air Temp (Degrees F) 
',,,
Ada,47.32110000000036,-96.5138999999998,30.737109722222257
Becker,45.34430000000047,-93.84999999999917,34.27472500000003
Campbell,46.06493200000045,-96.37016500000026,31.880869444444432
Clarissa,46.11156000000042,-94.90580000000013,31.46406388888888
Eldred,47.68799999999931,-96.8220000000001,30.08756250000001
Fox,48.87773799999968,-95.85016000000134,27.678770833333324
Greenbush,48.70400000000049,-96.32499999999871,28.28529027777777
Hubbard,46.82058999999964,-94.99579999999892,29.75306111111113
Humboldt,48.88399999999904,-97.15000000000059,27.958777777777758
Kennedy,48.63670899999933,-97.04111700000057,28.708495833333338
Little Falls,45.93213000000036,-94.25140000000043,31.678402777777745
Mavie,48.1209999999994,-95.97099999999942,28.883515277777796
Ottertail,46.4264299999997,-95.573499999999,31.165818055555555
Parkers Prairie,46.16939999999958,-95.35599999999978,31.497690277777746
Perham,46.610476999999314,-95.60187600000053,30.649361111111144
Perley,47.17899999999996,-96.67999999999985,30.897958333333317
Pine Point,47.0128599999997,-95.37170000000161,28.76451527777778
Rice,45.79382999999947,-94.26179999999997,32.6559
Roseau,48.68500000000039,-95.73399999999846,28.183734722222212
Sabin,46.79438899999958,-96.6116830000008,32.203098611111095
Staples,46.387729999999465,-94.8087000000007,30.793570833333384
Stephen,48.45675000000029,-96.8539529999993,29.40505694444445
Ulen,47.050472999999634,-96.10843200000039,29.581945833333318
Wadena,46.44829999999994,-95.21420000000083,30.588447222222268
Warren,48.136999999999695,-96.83900000000038,28.657219444444408
Waukon,47.325859000000186,-96.13250400000034,30.35259166666664
Westport,45.71508000000085,-95.17179999999817,32.07807083333338
Williams,48.85845400000043,-94.98089700000091,27.705508333333327
